"","UF","X","Codigo","Instituicao","Nome","Nível","Situação","A1998","A2001","A2004","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2017","DNome","DNível","DSituação","DA1998","DA2001","DA2004","DA2007","DA2008","DA2009","DA2010","DA2011","DA2012","DA2013","DA2014","DA2017","SigladaIES","MUNICIPIO","Tipo","Regiao","Estado","Capital","SiglaRegigao"
"28","RJ",18,"31001017003P7","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",4,5,5,6,6,6,6,6,6,7,7,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",4,5,5,6,6,6,6,6,6,7,7,7,"UFRJ","Rio de Janeiro","Publica","Sudeste","Rio de Janeiro","Rio de Janeiro","SE"
"29","RJ",19,"31001017005P0","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO","ESTATÍSTICA","Mestrado","EM FUNCIONAMENTO",4,4,4,5,5,5,5,5,5,5,5,5,"ESTATÍSTICA","Doutorado","EM FUNCIONAMENTO",NA,4,4,5,5,5,5,5,5,5,5,5,"UFRJ","Rio de Janeiro","Publica","Sudeste","Rio de Janeiro","Rio de Janeiro","SE"
"30","RJ",20,"31003010003P3","UNIVERSIDADE FEDERAL FLUMINENSE","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",4,4,4,4,4,4,4,4,4,5,5,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",NA,NA,NA,NA,4,4,4,4,4,5,5,5,"UFF","Niterói","Publica","Sudeste","Rio de Janeiro","Rio de Janeiro","SE"
"31","RJ",21,"31005012003P2","PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,6,6,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,6,6,7,"PUC-RIO","Rio de Janeiro","Particular","Sudeste","Rio de Janeiro","Rio de Janeiro","SE"
"32","RJ",22,"31008011001P9","ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",7,7,7,7,7,7,7,7,7,7,7,7,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",7,7,7,7,7,7,7,7,7,7,7,7,"IMPA","Rio de Janeiro","Publica","Sudeste","Rio de Janeiro","Rio de Janeiro","SE"
"33","RJ",23,"31011012013P4","FUNDAÇÃO GETÚLIO VARGAS ( RJ )","Modelagem Matemática","Mestrado","EM FUNCIONAMENTO",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,"DOUTORADO ACADÊMICO EM MODELAGEM MATEMÁTICA","Doutorado","EM PROJETO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"FGV/RJ","Rio de Janeiro","Particular","Sudeste","Rio de Janeiro","Rio de Janeiro","SE"
"34","RN",7,"23001011042P0","UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE","MATEMATICA APLICADA E ESTATISTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,3,3,3,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFRN","Natal","Publica","Nordeste","Rio Grande do Norte","Natal","NE"
"35","RS",47,"42001013003P8","UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,4,4,5,"MATEMÁTICA","Doutorado","EM FUNCIONAMENTO",5,5,5,5,5,5,5,5,5,4,4,5,"UFRGS","Porto Alegre","Publica","Sul","Rio Grande do Sul","Porto Alegre","S"
"36","RS",48,"42001013063P0","UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL","MATEMÁTICA APLICADA","Mestrado","EM FUNCIONAMENTO",3,4,4,4,4,4,4,4,4,4,4,4,"MATEMÁTICA APLICADA","Doutorado","EM FUNCIONAMENTO",NA,4,4,4,4,4,4,4,4,4,4,4,"UFRGS","Porto Alegre","Publica","Sul","Rio Grande do Sul","Porto Alegre","S"
"37","RS",49,"42002010034P0","UNIVERSIDADE FEDERAL DE SANTA MARIA","MATEMÁTICA","Mestrado","EM FUNCIONAMENTO",NA,NA,3,3,3,3,3,3,3,3,3,3,NA,"Doutorado","Inexistente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFSM","Santa Maria","Publica","Sul","Rio Grande do Sul","Porto Alegre","S"
